"z","year","buffer","biomass","perc_change","agc_flux"
"29.775573903_-4.826456757","2008",20,3.3605899810791,-9.69020538501358,-0.3605899810791
"29.775573903_-4.826456757","2009",20,0.446799397468567,-86.7047333955005,-2.91379058361053
"29.775573903_-4.826456757","2010",20,0.97921234369278,119.161518399691,0.532412946224213
"29.775573903_-4.835439909","2007",20,4.61358690261841,NA,NA
"29.775573903_-4.835439909","2008",20,6.39105033874512,38.5267141086672,1.77746343612671
"29.775573903_-4.835439909","2009",20,0.792128443717957,-87.6056610145009,-5.59892189502716
"29.775573903_-4.835439909","2010",20,0.396064221858978,-50.0000000000001,-0.396064221858979
"29.775573903_-4.844423061","2007",20,5.49490261077881,NA,NA
"29.775573903_-4.844423061","2008",20,6.19118690490723,12.6714583214375,0.69628429412842
"29.775573903_-4.844423061","2009",20,1.80679357051849,-70.8166850998086,-4.38439333438874
"29.775573903_-4.844423061","2010",20,0.110508978366852,-93.8836965013585,-1.69628459215164
"29.775573903_-4.853406213","2007",20,6.70588397979736,NA,NA
"29.775573903_-4.853406213","2008",20,9.08030033111572,35.4079545436769,2.37441635131836
"29.775573903_-4.853406213","2009",20,4.95072364807129,-45.4784151675413,-4.12957668304443
"29.775573903_-4.853406213","2010",20,6.80679368972778,37.490883628287,1.85607004165649
"29.784557055_-4.781540997","2007",20,8.64116477966309,NA,NA
"29.784557055_-4.781540997","2008",20,7.71133136749268,-10.760510138156,-0.929833412170409
"29.784557055_-4.781540997","2009",20,2.44039177894592,-68.3531719407954,-5.27093958854676
"29.784557055_-4.781540997","2010",20,3.33255839347839,36.5583355193003,0.89216661453247
"29.784557055_-4.790524149","2007",20,10.8820667266846,NA,NA
"29.784557055_-4.790524149","2008",20,6.2713942527771,-42.3694560023362,-4.6106724739075
"29.784557055_-4.790524149","2009",20,1.80533623695374,-71.2131598782153,-4.46605801582336
"29.784557055_-4.790524149","2010",20,0.176116585731506,-90.2446656680044,-1.62921965122223
"29.784557055_-4.799507301","2007",20,9.88958549499512,NA,NA
"29.784557055_-4.799507301","2008",20,7.23953533172607,-26.7963724527199,-2.65005016326905
"29.784557055_-4.799507301","2009",20,2.2141273021698,-69.4161682937474,-5.02540802955627
"29.784557055_-4.799507301","2010",20,2.33394384384155,5.41145676467349,0.11981654167175
"29.784557055_-4.808490453","2007",20,1.64048457145691,NA,NA
"29.784557055_-4.808490453","2008",20,2.24713444709778,36.9799196040049,0.60664987564087
"29.784557055_-4.808490453","2009",20,1.95723104476929,-12.9010261358819,-0.28990340232849
"29.784557055_-4.808490453","2010",20,3.95684838294983,102.165625439292,1.99961733818054
"29.784557055_-4.817473605","2007",20,13.0570945739746,NA,NA
"29.784557055_-4.817473605","2008",20,16.060962677002,23.005639470627,3.0038681030274
"29.784557055_-4.817473605","2009",20,9.76497554779053,-39.2005588695304,-6.29598712921147
"29.784557055_-4.817473605","2010",20,8.01815605163574,-17.8886213038192,-1.74681949615479
"29.784557055_-4.826456757","2007",20,0.488716840744019,NA,NA
"29.784557055_-4.826456757","2008",20,1.68133640289307,244.03078893975,1.19261956214905
"29.784557055_-4.826456757","2009",20,0.0425133071839809,-97.4714574007421,-1.63882309570909
"29.784557055_-4.826456757","2010",20,NA,NA,NA
"29.784557055_-4.835439909","2007",20,6.60071182250977,NA,NA
"29.784557055_-4.835439909","2008",20,8.88462257385254,34.6009765727716,2.28391075134277
"29.784557055_-4.835439909","2009",20,6.09162330627441,-31.4363299550611,-2.79299926757813
"29.784557055_-4.835439909","2010",20,4.09335517883301,-32.8035406487327,-1.9982681274414
"29.784557055_-4.844423061","2007",20,16.0026836395264,NA,NA
"29.784557055_-4.844423061","2008",20,17.6017227172852,9.99231824972904,1.5990390777588
"29.784557055_-4.844423061","2009",20,12.4458150863647,-29.2920625653153,-5.1559076309205
